13 8588
27 8588
55 8588
47 8588
30 8588
61 8588
58 8588
52 8588
41 8588
18 8588
37 8588
10 8588
20 8588
40 8588
16 8588
32 8588
0 8588
1 8588
2 8588
4 8588
8 8588
17 8588
35 8588
6 8588
13 8588
26 8588
52 8588
41 8588
19 8588
39 8588
14 8588
29 8588
59 8588
55 8588
47 8588
31 8588
62 8588
60 8588
56 8588
49 8588
34 8588
30 8588
60 8588
57 8588
50 8588
36 8588
8 8588
16 8588
32 8588
0 8588
1 8588
2 8588
5 8588
11 8588
23 8588
47 8588
31 8588
62 8588
60 8588
56 8588
49 8588
34 8588
5 8588
11 8588
22 8588
44 8588
25 8588
51 8588
38 8588
12 8588
25 8588
50 8588
37 8588
11 8588
23 8588
46 8588
28 8588
57 8588
50 8588
37 8588
11 8588
22 8588
45 8588
27 8588
54 8588
45 8588
26 8588
52 8588
40 8588
17 8588
35 8588
6 8588
13 8588
27 8588
54 8588
45 8588
26 8588
53 8588
42 8588
21 8588
43 8588
23 8588
46 8588
29 8588
59 8588
54 8588
44 8588
25 8588
51 8588
39 8588
14 8588
29 8588
59 8588
54 8588
45 8588
27 8588
54 8588
45 8588
27 8588
55 8588
46 8588
29 8588
59 8588
55 8588
47 8588
30 8588
60 8588
57 8588
51 8588
38 8588
12 8588
24 8588
49 8588
35 8588
7 8588
15 8588
30 8588
60 8588
56 8588
48 8588
32 8588
0 8588
0 8588
0 8588
0 8588
1 8588
3 8588
7 8588
14 8588
29 8588
59 8588
55 8588
46 8588
28 8588
56 8588
48 8588
32 8588
1 8588
3 8588
7 8588
15 8624
30 8588
61 8588
59 8588
55 8588
47 8588
31 8588
62 8588
60 8588
57 8588
51 8588
39 8588
15 8588
31 8588
62 8588
61 8588
59 8588
55 8588
47 8588
30 8588
60 8588
56 8588
48 8588
33 8588
2 8588
4 8588
9 8588
18 8588
36 8588
9 8588
18 8588
37 8588
11 8588
23 8588
46 8588
29 8588
58 8588
53 8588
43 8588
23 8588
47 8588
31 8588
63 8588
63 8588
63 8588
62 8588
61 8588
58 8588
53 8588
42 8588
20 8588
41 8588
19 8588
39 8588
15 8588
30 8588
61 8588
58 8588
52 8588
41 8588
18 8588
37 8588
10 8588
21 8588
43 8588
22 8588
44 8588
25 8588
50 8588
36 8588
8 8588
17 8588
34 8588
5 8588
11 8588
22 8588
45 8588
27 8588
54 8588
45 8588
26 8588
52 8588
40 8588
16 8588
33 8588
3 8588
6 8588
13 8588
26 8588
52 8588
40 8588
17 8588
35 8588
6 8588
13 8588
27 8588
54 8588
45 8588
26 8588
53 8588
43 8588
23 8588
46 8588
28 8588
56 8588
49 8588
35 8588
7 8588
15 8588
30 8588
61 8588
58 8588
53 8588
42 8588
20 8588
40 8588
16 8588
32 8588
0 8588
0 8588
0 8588
1 8588
2 8588
5 8588
10 8588
21 8588
42 8588
21 8588
42 8588
21 8588
42 8588
20 8588
40 8588
17 8588
34 8588
5 8588
11 8588
23 8588
47 8588
31 8588
63 8588
62 8588
60 8588
57 8588
50 8588
36 8588
8 8588
17 8588
35 8588
7 8588
14 8588
28 8588
56 8588
49 8588
35 8588
6 8588
13 8588
27 8588
55 8588
46 8588
28 8588
56 8588
49 8588
35 8588
6 8588
13 8588
27 8588
55 8588
47 8588
30 8588
61 8588
59 8588
55 8588
46 8588
29 8588
59 8588
55 8588
46 8588
28 8588
56 8588
48 8588
33 8588
3 8588
6 8588
12 8588
24 8588
49 8588
34 8588
5 8588
11 8588
22 8588
45 8588
26 8588
52 8588
40 8588
17 8588
34 8588
5 8588
11 8588
23 8588
47 8588
30 8588
60 8588
56 8588
48 8588
32 8588
1 8588
2 8588
5 8588
11 8588
23 8588
47 8588
30 8588
61 8588
58 8588
53 8588
43 8588
23 8588
47 8588
31 8588
62 8588
61 8588
58 8588
52 8588
40 8588
16 8588
32 8588
1 8588
2 8588
4 8588
8 8588
16 8588
32 8588
1 8588
3 8588
7 8588
14 8588
28 8588
56 8588
49 8588
35 8588
6 8588
12 8588
24 8588
48 8588
33 8588
3 8588
7 8588
15 8588
30 8588
60 8588
57 8588
51 8588
39 8588
14 8588
28 8588
57 8588
50 8588
37 8588
10 8588
21 8588
42 8588
20 8588
40 8588
16 8588
33 8588
2 8588
5 8588
10 8588
20 8588
41 8588
18 8588
36 8588
9 8588
18 8588
36 8588
8 8588
17 8588
35 8588
7 8588
14 8588
29 8588
58 8588
52 8588
41 8588
18 8588
37 8588
10 8588
20 8588
41 8588
18 8588
37 8588
11 8588
22 8588
45 8588
26 8588
53 8588
42 8588
21 8588
43 8588
23 8588
47 8588
31 8588
63 8588
62 8588
60 8588
57 8588
51 8588
39 8588
15 8588
31 8588
62 8588
61 8588
59 8588
55 8588
46 8588
29 8588
59 8588
54 8588
45 8588
26 8588
53 8588
42 8588
21 8588
43 8588
23 8588
47 8588
30 8588
56 8588
49 8588
34 8588
4 8588
8 8588
16 8588
33 8588
2 8588
5 8588
10 8588
21 8588
43 8588
22 8588
44 8588
25 8588
50 8588
36 8588
8 8588
17 8588
34 8588
4 8588
9 8588
19 8588
39 8588
14 8588
28 8588
57 8588
50 8588
37 8588
10 8588
20 8588
40 8588
17 8588
35 8588
6 8588
13 8588
26 8588
53 8588
42 8588
21 8588
43 8588
22 8588
44 8588
24 8588
49 8588
34 8588
4 8588
8 8588
17 8588
35 8588
6 8588
13 8588
27 8588
55 8588
46 8588
29 8588
59 8588
55 8588
47 8588
31 8588
63 8588
63 8588
63 8588
62 8588
60 8588
57 8588
50 8588
36 8588
8 8588
17 8588
34 8588
5 8588
10 8588
20 8588
41 8588
18 8588
36 8588
9 8588
18 8588
36 8588
8 8588
16 8588
33 8588
3 8588
6 8588
12 8588
24 8588
48 8588
33 8588
2 8588
4 8588
8 8588
17 8588
35 8588
7 8588
14 8588
28 8588
57 8588
51 8588
39 8588
14 8588
28 8588
56 8588
49 8588
34 8588
4 8588
9 8588
19 8588
38 8588
12 8588
25 8588
51 8588
38 8588
13 8588
27 8588
54 8588
44 8588
24 8588
48 8588
33 8588
3 8588
7 8588
14 8588
29 8588
58 8588
53 8588
42 8588
21 8588
42 8588
21 8588
42 8588
20 8588
41 8588
18 8588
37 8588
11 8588
23 8588
46 8588
28 8588
57 8588
51 8588
39 8588
14 8588
29 8588
59 8588
54 8588
44 8588
25 8588
51 8588
39 8588
14 8588
29 8588
58 8588
52 8588
41 8588
18 8588
36 8588
8 8588
17 8588
34 8588
5 8588
11 8588
23 8588
47 8588
31 8588
63 8588
62 8588
60 8588
57 8588
50 8588
36 8588
8 8588
17 8588
35 8588
6 8588
12 8588
24 8588
48 8588
32 8588
1 8588
3 8588
7 8588
15 8588
30 8588
60 8588
57 8588
51 8588
39 8588
14 8588
29 8588
59 8588
54 8588
44 8588
25 8588
51 8588
38 8588
12 8588
25 8588
51 8588
38 8588
12 8588
25 8588
50 8588
36 8588
8 8588
17 8588
35 8588
7 8588
15 8588
31 8588
62 8588
61 8588
59 8588
55 8588
47 8588
31 8588
63 8588
63 8588
63 8588
62 8588
60 8588
57 8588
50 8588
36 8588
8 8588
17 8588
34 8588
4 8588
9 8588
19 8588
38 8588
12 8588
24 8588
48 8588
33 8588
2 8588
4 8588
8 8588
16 8588
32 8588
0 8588
1 8588
3 8588
6 8588
12 8588
25 8588
50 8588
37 8588
10 8588
20 8588
40 8588
17 8588
35 8588
7 8588
14 8588
29 8588
58 8588
52 8588
40 8588
16 8588
33 8588
2 8588
5 8588
10 8588
20 8588
40 8588
17 8588
34 8588
5 8588
10 8588
21 8588
43 8588
22 8588
45 8588
27 8588
55 8588
46 8588
29 8588
59 8588
55 8588
46 8588
29 8588
58 8588
52 8588
40 8588
17 8588
35 8588
7 8588
15 8588
30 8588
60 8588
56 8588
48 8588
33 8588
2 8588
4 8588
9 8588
18 8588
36 8588
9 8588
19 8588
39 8588
15 8588
30 8588
61 8588
58 8588
52 8588
40 8588
17 8588
35 8588
6 8588
12 8588
24 8588
49 8588
35 8588
7 8588
14 8588
28 8588
56 8588
49 8588
34 8588
4 8588
9 8588
18 8588
36 8588
9 8588
18 8588
37 8588
10 8588
21 8588
42 8588
21 8588
42 8588
20 8588
41 8588
18 8588
37 8588
10 8588
21 8588
43 8588
23 8588
46 8588
29 8588
59 8588
55 8588
47 8588
31 8588
62 8588
61 8588
58 8588
53 8588
43 8588
22 8588
44 8588
25 8588
51 8588
39 8588
15 8588
31 8588
63 8588
63 8588
62 8588
60 8588
57 8588
50 8588
36 8588
8 8588
17 8588
35 8588
6 8588
13 8588
26 8588
53 8588
42 8588
20 8588
41 8588
19 8588
38 8588
13 8588
26 8588
53 8588
42 8588
21 8588
42 8588
21 8588
42 8588
20 8588
41 8588
18 8588
37 8588
11 8588
23 8588
46 8588
29 8588
58 8588
52 8588
40 8588
17 8588
34 8588
4 8588
8 8588
16 8588
32 8588
0 8588
0 8588
0 8588
1 8588
2 8588
4 8588
9 8588
18 8588
36 8588
8 8588
17 8588
34 8588
4 8588
9 8588
19 8588
38 8588
13 8588
27 8588
55 8588
47 8588
31 8588
62 8588
60 8588
56 8588
48 8588
33 8588
2 8588
5 8588
10 8588
21 8588
43 8588
22 8588
44 8588
24 8588
48 8588
32 8588
1 8588
3 8588
6 8588
12 8588
25 8588
50 8588
37 8588
11 8588
22 8588
44 8588
25 8588
50 8588
36 8588
8 8588
17 8588
35 8588
6 8588
13 8588
27 8588
54 8588
45 8588
26 8588
52 8588
40 8588
16 8588
33 8588
3 8588
6 8588
12 8588
25 8588
51 8588
38 8588
13 8588
26 8588
53 8588
43 8588
22 8588
44 8588
25 8588
51 8588
39 8588
14 8588
29 8588
59 8588
54 8588
45 8588
26 8588
53 8588
42 8588
20 8588
41 8588
18 8588
37 8588
11 8588
23 8588
46 8588
28 8588
56 8588
49 8588
35 8588
7 8588
14 8588
29 8588
59 8588
54 8588
